ID,datamex_code,Product,PCI.2018,N_PCI.2018,Region,rca_bin,DENSITY,GCI_2018,GP_SINVCR,GCP_2018
2608,189028,"Gas, liquid or electricity supply or production meters, including calibrating meters thereof; parts and accessories thereof",-0.0506,0.536528038,Nuevo Leon,0,19.67,0,1,10.5535065
1515,168465,"Machine tools (including machines for nailing, stapling, glueing or otherwise assembling) for working wood, cork, bone, hard rubber, hard plastics or similar hard materials",1.0371,0.797404902,Nuevo Leon,0,19.43,0,1,15.49357725
501,137008,Multiple-walled insulating units of glass,0.7681,0.732887226,Baja California,0,19.02,0,1,13.93951504
2280,178714,Parts and accessories of vehicles of headings 8711 to 8713,0.8366,0.749316448,Baja California,0,19.02,0,1,14.25199885
2715,189033,"Parts and accessories (not specified or included elsewhere in this chapter) for machines, appliances, instruments or apparatus of chapter 90",0.9104,0.767016837,Baja California,0,19.02,0,1,14.58866024
518,137008,Multiple-walled insulating units of glass,0.7681,0.732887226,Nuevo Leon,0,18.89,0,1,13.8442397
2297,178714,Parts and accessories of vehicles of headings 8711 to 8713,0.8366,0.749316448,Nuevo Leon,0,18.89,0,1,14.15458771
2732,189033,"Parts and accessories (not specified or included elsewhere in this chapter) for machines, appliances, instruments or apparatus of chapter 90",0.9104,0.767016837,Nuevo Leon,0,18.89,0,1,14.48894805
2591,189028,"Gas, liquid or electricity supply or production meters, including calibrating meters thereof; parts and accessories thereof",-0.0506,0.536528038,Baja California,0,18.86,0,1,10.11891879
1035,168405,"Producer gas or water gas generators, with or without their purifiers; acetylene gas generators and similar water process gas generators, with or without their purifiers; parts thereof",0.6341,0.700748309,Chihuahua,0,18.82,0,1,13.18808318
1843,168506,Primary cells and primary batteries; parts thereof,0.4174,0.648774404,Chihuahua,0,18.82,0,1,12.20993428
625,157303,"Tubes, pipes and hollow profiles, of cast iron",-0.2055,0.499376409,Baja California,0,18.77,0,1,9.373295198
2383,189002,"Lenses, prisms, mirrors and other optical elements, of any material, mounted,being parts of or fittings for instruments or apparatus, other than such elements of glass not optically worked; parts and accessories thereof",1.2455,0.847388113,Edo. Mex.,0,18.37,0,1,15.56651964
1825,168505,"Electromagnets; permanent magnets and articles intended to become permanent magnets after magnetization;electromagnetic or permanent magnet chucks, clamps and similar holding devices;electromagnetic couplings, clutches and brakes; electromagnetic lifting",1.5448,0.919173022,Nuevo Leon,0,18.36,0,1,16.87601669
2266,178712,"Bicycles and other cycles (including delivery tricycles), not motorized:",-0.0113,0.545953854,Nuevo Leon,0,18.24,0,1,9.958198302
1980,168516,"Electric instantaneous or storage water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electrothermic hairdressing apparatus (for example, hair dryers, hair curlers, curling tong heaters) and hand dryers; elect",0.5367,0.677387634,Nuevo Leon,0,17.94,0,1,12.15233415
2113,168541,"Diodes, transistors and similar semiconductor devices; photosensitive semiconductor devices, including photovoltaic cells whether or not assembled in modules or made up into panels; light-emitting diodes; mounted piezoelectric crystals; parts thereof",0.9852,0.784957068,Tamaulipas,0,17.81,0,1,13.98008538
2462,189013,"Liquid crystal devices not constituting articles provided for more specifically in other headings; lasers, other than laser diodes; other optical appliances and instruments, not specified or included elsewhere in this chapter; parts and accessories thereo",1.1688,0.828992181,Tamaulipas,0,17.81,0,1,14.76435075
2524,189025,"Hydrometers and similar floating instruments, thermometers, pyrometers,barometers, hygrometers and psychrometers, recording or not, and any combination of these instruments; parts and accessories thereof",0.987,0.785388785,Tamaulipas,0,17.81,0,1,13.98777426
245,94504,Agglomerated cork (with or without a binding substance) and articles of agglomerated cork,-0.5364,0.420012472,Tamaulipas,0,17.73,0,1,7.446821125
704,157306,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel",-0.3253,0.470643258,Nuevo Leon,0,17.73,0,1,8.344504965
1595,168479,"Machines and mechanical appliances having individual functions, not specified or included elsewhere in this chapter; parts thereof",1.8818,1,Chihuahua,0,17.58,0,1,17.58
1498,168465,"Machine tools (including machines for nailing, stapling, glueing or otherwise assembling) for working wood, cork, bone, hard rubber, hard plastics or similar hard materials",1.0371,0.797404902,Baja California,0,17.29,0,1,13.78713076
2111,168541,"Diodes, transistors and similar semiconductor devices; photosensitive semiconductor devices, including photovoltaic cells whether or not assembled in modules or made up into panels; light-emitting diodes; mounted piezoelectric crystals; parts thereof",0.9852,0.784957068,Sonora,0,17.26,0,1,13.548359
2460,189013,"Liquid crystal devices not constituting articles provided for more specifically in other headings; lasers, other than laser diodes; other optical appliances and instruments, not specified or included elsewhere in this chapter; parts and accessories thereo",1.1688,0.828992181,Sonora,0,17.26,0,1,14.30840505
2522,189025,"Hydrometers and similar floating instruments, thermometers, pyrometers,barometers, hygrometers and psychrometers, recording or not, and any combination of these instruments; parts and accessories thereof",0.987,0.785388785,Sonora,0,17.26,0,1,13.55581043
1812,168505,"Electromagnets; permanent magnets and articles intended to become permanent magnets after magnetization;electromagnetic or permanent magnet chucks, clamps and similar holding devices;electromagnetic couplings, clutches and brakes; electromagnetic lifting",1.5448,0.919173022,Chihuahua,0,17.22,0,1,15.82815945
2746,209405,"Lamps and lighting fittings including searchlights and spotlights and parts thereof, not elsewhere specified or included; illuminated signs, illuminated nameplates and the like, having a permanently fixed light source, and parts thereof not elsewhere spec",0.5638,0.68388737,Baja California,0,17.21,0,1,11.76970164
1135,168412,"Other engines and motors, and parts thereof",1.2701,0.853288243,Edo. Mex.,0,17.13,0,1,14.6168276
749,157309,"Tanks etc, over 300 liter capacity, iron or steel",0.1877,0.593682544,Baja California,0,16.92,0,1,10.04510865
2335,178716,"Trailers and semi-trailers; other vehicles, not mechanically propelled; and parts thereof",0.6858,0.713148175,Sonora,0,16.87,0,1,12.03080971
406,116305,"Sacks and bags, of a kind used for the packing of goods",-1.7066,0.139348587,Baja California,0,16.85,0,1,2.348023696
2328,178716,"Trailers and semi-trailers; other vehicles, not mechanically propelled; and parts thereof",0.6858,0.713148175,Nuevo Leon,0,16.84,0,1,12.00941526
2360,189001,"Optical fibers and optical fiber bundles; optical fiber cables other than those of heading 8544; sheets and plates of polarizing material; lenses (including contact lenses), prisms, mirrors and other optical elements, of any material, unmounted, other tha",0.7699,0.733318943,Nuevo Leon,0,16.81,0,1,12.32709143
775,157309,"Tanks etc, over 300 liter capacity, iron or steel",0.1877,0.593682544,Tamaulipas,0,16.78,0,1,9.961993093
2577,189027,"Instruments and apparatus for physical or chemical analysis (for example, polarimeters,refractometers, spectrometers, gas or smoke analysis apparatus); instruments and apparatus for measuring or checking viscosity, porosity, expansion, surface tension or",1.6172,0.936537631,Nuevo Leon,0,16.58,0,1,15.52779393
2337,178716,"Trailers and semi-trailers; other vehicles, not mechanically propelled; and parts thereof",0.6858,0.713148175,Tamaulipas,0,16.42,0,1,11.70989303
2104,168541,"Diodes, transistors and similar semiconductor devices; photosensitive semiconductor devices, including photovoltaic cells whether or not assembled in modules or made up into panels; light-emitting diodes; mounted piezoelectric crystals; parts thereof",0.9852,0.784957068,Nuevo Leon,0,16.36,0,1,12.84189764
2453,189013,"Liquid crystal devices not constituting articles provided for more specifically in other headings; lasers, other than laser diodes; other optical appliances and instruments, not specified or included elsewhere in this chapter; parts and accessories thereo",1.1688,0.828992181,Nuevo Leon,0,16.36,0,1,13.56231208
2515,189025,"Hydrometers and similar floating instruments, thermometers, pyrometers,barometers, hygrometers and psychrometers, recording or not, and any combination of these instruments; parts and accessories thereof",0.987,0.785388785,Nuevo Leon,0,16.36,0,1,12.84896052
143,73925,"Builders' ware of plastics, not elsewhere specified or included",0.2038,0.597544011,Nuevo Leon,0,16.14,0,1,9.64436034
1312,168419,"Machinery, plant or laboratory equipment, whether or not electrically heated (excluding furnaces, ovens and other equipment of heading 8514), for the treatment of materials by a process involving a change of temperature such as heating, cooking, roasting,",1.5466,0.919604739,Baja California,0,16.11,0,1,14.81483235
651,157303,"Tubes, pipes and hollow profiles, of cast iron",-0.2055,0.499376409,Tamaulipas,0,16.1,0,1,8.039960186
330,115603,"Nonwovens, whether or not impregnated, coated, covered or laminated",1.0829,0.808389696,Nuevo Leon,0,16.02,0,1,12.95040294
815,157321,"Stoves, ranges, grates, cookers (including those with subsidiary boilers for central heating), barbecues, braziers, gas rings, plate warmers and similar nonelectric domestic appliances, and parts thereof, of iron or steel",0.3681,0.636950161,Chihuahua,0,15.91,0,1,10.13387706
2677,189031,"Measuring or checking instruments, appliances and machines, not specified or included elsewhere in this chapter; profile projectors; parts and accessories thereof",1.8193,0.985009834,Sonora,0,15.86,0,1,15.62225596
313,115603,"Nonwovens, whether or not impregnated, coated, covered or laminated",1.0829,0.808389696,Baja California,0,15.83,0,1,12.79680889
2701,189032,Automatic regulating or controlling instruments and apparatus; parts and accessories thereof,1.0657,0.804264403,Nuevo Leon,0,15.74,0,1,12.6591217
1099,168411,"Turbojets, turbo propellers and other gas turbines, and parts thereof",0.7881,0.737684079,Chihuahua,0,15.62,0,1,11.52262532
2135,168543,"Electrical machines and apparatus, having individual functions, not specified or included elsewhere in this chapter; parts thereof",1.3764,0.878783518,Nuevo Leon,0,15.62,0,1,13.72659855
1095,168411,"Turbojets, turbo propellers and other gas turbines, and parts thereof",0.7881,0.737684079,Baja California,0,15.57,0,1,11.48574111
1055,168405,"Producer gas or water gas generators, with or without their purifiers; acetylene gas generators and similar water process gas generators, with or without their purifiers; parts thereof",0.6341,0.700748309,Sonora,0,15.51,0,1,10.86860627
1863,168506,Primary cells and primary batteries; parts thereof,0.4174,0.648774404,Sonora,0,15.51,0,1,10.06249101
228,94504,Agglomerated cork (with or without a binding substance) and articles of agglomerated cork,-0.5364,0.420012472,Edo. Mex.,0,15.49,0,1,6.505993188
1688,168501,Electric motors and generators (excluding generating sets),0.9197,0.769247374,Chihuahua,0,15.49,0,1,11.91564182
758,157309,"Tanks etc, over 300 liter capacity, iron or steel",0.1877,0.593682544,Edo. Mex.,0,15.48,0,1,9.190205785
744,157308,"Structures (excluding prefabricated buildings of heading 9406) and parts of structures (for example, bridges and bridge sections, lock gates, towers, lattice masts, roofs, roofing frameworks, doors and windows and their frames and thresholds for doors, sh",0.3654,0.636302586,Tamaulipas,0,15.46,0,1,9.837237972
126,73925,"Builders' ware of plastics, not elsewhere specified or included",0.2038,0.597544011,Baja California,0,15.44,0,1,9.226079532
130,73925,"Builders' ware of plastics, not elsewhere specified or included",0.2038,0.597544011,Chihuahua,0,15.39,0,1,9.196202331
2639,189030,"Oscilloscopes, spectrum analyzers and other instruments and apparatus for measuring or checking electrical quantities, excluding meters of heading 9028;instruments and apparatus for measuring or detecting alpha, beta, gamma, X-ray, cosmic or other ionizin",1.1716,0.829663741,Nuevo Leon,0,15.39,0,1,12.76852497
1662,168483,"Transmission shafts (including camshafts and crankshafts) and cranks; bearing housings, housed bearings and plain shaft bearings; gears and gearing; ball or roller screws; gear boxes and other speed changers, including torque converters; flywheels and pul",1.5906,0.930157816,Edo. Mex.,0,15.34,0,1,14.2686209
375,115608,"Knotted netting of twine, cordage or rope; made up fishing nets and other made up nets, of textile materials",-0.7791,0.361802657,Baja California,0,15.33,0,1,5.546434739
541,137009,"Glass mirrors, whether or not framed, including rear-view mirrors",1.3171,0.864560848,Edo. Mex.,0,15.31,0,1,13.23642658
942,157612,"Aluminum casks, drums, cans, boxes and similar containers (including rigid or collapsible tubular containers), for any material (other than compressed or liquefied gas), of a capacity not exceeding300 liters, whether or not lined or heat insulated, but no",0.1436,0.583105483,CDMX,0,15.3,0,1,8.921513887
1004,168402,Steam or other vapor generating boilers (other than central heating hot water boilers capable also of producing low pressure steam); super-heated water boilers; parts thereof,0.7007,0.71672183,CDMX,0,15.3,0,1,10.96584401
2600,189028,"Gas, liquid or electricity supply or production meters, including calibrating meters thereof; parts and accessories thereof",-0.0506,0.536528038,Edo. Mex.,0,15.25,0,1,8.182052574
446,136806,"Slag wool, rock wool and similar mineral wools; exfoliated vermiculite, expanded clays, foamed slag and similar expanded mineral materials; mixtures and articles of heat-insulating, sound-insulating or sound-absorbing mineral materials, other than those o",0.7265,0.722909771,Edo. Mex.,0,15.18,0,1,10.97377033
1608,168479,"Machines and mechanical appliances having individual functions, not specified or included elsewhere in this chapter; parts thereof",1.8818,1,Nuevo Leon,0,15.13,0,1,15.13
2127,168543,"Electrical machines and apparatus, having individual functions, not specified or included elsewhere in this chapter; parts thereof",1.3764,0.878783518,Edo. Mex.,0,15.13,0,1,13.29599463
2803,209507,"Fishing rods, fish hooks and other line fishing tackle; fish landing nets,butterfly nets and similar nets; decoy birds (other than those of heading 9208 or 9705) and similar hunting or shooting equipment; parts and accessories thereof",-0.5331,0.420803953,Tamaulipas,0,15.13,0,1,6.366763803
2546,189026,"Instruments and apparatus for measuring or checking the flow, level, pressure or other variables of liquids or gases (for example, flow meters, level gauges, manometers, heat meters), excluding instruments and apparatus of heading 9014, 9015, 9028 or 9032",1.5438,0.91893318,Nuevo Leon,0,15.06,0,1,13.83913369
1538,168466,"Parts and accessories suitable for use solely or principally with the machines of headings 8456 to 8465, including work or tool holders, self-opening dieheads, dividing heads and other special attachments for machine tools; tool holders for any type of to",1.4076,0.886266609,Edo. Mex.,0,15.04,0,1,13.3294498
1874,168507,"Electric storage batteries, including separators therefor, whether or not rectangular(including square); parts thereof",0.9773,0.783062311,Chihuahua,0,15.02,0,1,11.76159591
1290,168418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps, other than the air conditioning machines of heading 8415; parts thereof",0.6296,0.699669017,Edo. Mex.,0,14.96,0,1,10.4670485
1941,168514,Industrial or laboratory electric furnaces and ovens (including those functioning by induction or dielectric loss); other industrial or laboratory equipment for the heat treatment of materials by induction or dielectric loss; parts thereof,1.8681,0.996714156,Edo. Mex.,0,14.95,0,1,14.90087662
883,157326,Other articles of iron or steel,0.9041,0.765505828,Edo. Mex.,0,14.9,0,1,11.40603684
1879,168507,"Electric storage batteries, including separators therefor, whether or not rectangular(including square); parts thereof",0.9773,0.783062311,Edo. Mex.,0,14.9,0,1,11.66762844
2786,209507,"Fishing rods, fish hooks and other line fishing tackle; fish landing nets,butterfly nets and similar nets; decoy birds (other than those of heading 9208 or 9705) and similar hunting or shooting equipment; parts and accessories thereof",-0.5331,0.420803953,Edo. Mex.,0,14.89,0,1,6.265770854
2586,189027,"Instruments and apparatus for physical or chemical analysis (for example, polarimeters,refractometers, spectrometers, gas or smoke analysis apparatus); instruments and apparatus for measuring or checking viscosity, porosity, expansion, surface tension or",1.6172,0.936537631,Tamaulipas,0,14.87,0,1,13.92631458
2662,189031,"Measuring or checking instruments, appliances and machines, not specified or included elsewhere in this chapter; profile projectors; parts and accessories thereof",1.8193,0.985009834,Edo. Mex.,0,14.87,0,1,14.64709622
1040,168405,"Producer gas or water gas generators, with or without their purifiers; acetylene gas generators and similar water process gas generators, with or without their purifiers; parts thereof",0.6341,0.700748309,Edo. Mex.,0,14.84,0,1,10.39910491
1848,168506,Primary cells and primary batteries; parts thereof,0.4174,0.648774404,Edo. Mex.,0,14.84,0,1,9.627812155
954,157612,"Aluminum casks, drums, cans, boxes and similar containers (including rigid or collapsible tubular containers), for any material (other than compressed or liquefied gas), of a capacity not exceeding300 liters, whether or not lined or heat insulated, but no",0.1436,0.583105483,Nuevo Leon,0,14.81,0,1,8.6357922
1016,168402,Steam or other vapor generating boilers (other than central heating hot water boilers capable also of producing low pressure steam); super-heated water boilers; parts thereof,0.7007,0.71672183,Nuevo Leon,0,14.81,0,1,10.61465031
2772,209405,"Lamps and lighting fittings including searchlights and spotlights and parts thereof, not elsewhere specified or included; illuminated signs, illuminated nameplates and the like, having a permanently fixed light source, and parts thereof not elsewhere spec",0.5638,0.68388737,Tamaulipas,0,14.81,0,1,10.12837195
1786,168504,"Electrical transformers, static converters (for example, rectifiers) and inductors; parts thereof",0.5813,0.688084616,Edo. Mex.,0,14.77,0,1,10.16300979
2034,168537,"Boards, panels, consoles,desks, cabinets and other bases, equipped with two or more apparatus of heading 8535 or 8536,for electric control or the distribution of electricity, including those incorporating instruments or apparatus of chapter 90, and numeri",0.7145,0.720031659,Edo. Mex.,0,14.69,0,1,10.57726507
2320,178716,"Trailers and semi-trailers; other vehicles, not mechanically propelled; and parts thereof",0.6858,0.713148175,Edo. Mex.,0,14.69,0,1,10.47614669
797,157310,"Tanks, casks, drums, cans, boxes and similar containers, for any material (other than compressed or liquefied gas), of iron or steel, of a capacity not exceeding 300 liters, whether or not lined or heat insulated, but not fitted with mechanical or thermal",0.215,0.600230249,Nuevo Leon,0,14.68,0,1,8.811380055
2755,209405,"Lamps and lighting fittings including searchlights and spotlights and parts thereof, not elsewhere specified or included; illuminated signs, illuminated nameplates and the like, having a permanently fixed light source, and parts thereof not elsewhere spec",0.5638,0.68388737,Edo. Mex.,0,14.67,0,1,10.03262772
634,157303,"Tubes, pipes and hollow profiles, of cast iron",-0.2055,0.499376409,Edo. Mex.,0,14.66,0,1,7.320858157
2555,189026,"Instruments and apparatus for measuring or checking the flow, level, pressure or other variables of liquids or gases (for example, flow meters, level gauges, manometers, heat meters), excluding instruments and apparatus of heading 9014, 9015, 9028 or 9032",1.5438,0.91893318,Tamaulipas,0,14.65,0,1,13.46237108
1104,168411,"Turbojets, turbo propellers and other gas turbines, and parts thereof",0.7881,0.737684079,Edo. Mex.,0,14.6,0,1,10.77018756
1352,168421,"Centrifuges, including centrifugal dryers; filtering or purifying machinery and apparatus, for liquids or gases; parts thereof",1.0131,0.791648678,Edo. Mex.,0,14.57,0,1,11.53432125
379,115608,"Knotted netting of twine, cordage or rope; made up fishing nets and other made up nets, of textile materials",-0.7791,0.361802657,Chihuahua,0,14.55,0,1,5.264228666
727,157308,"Structures (excluding prefabricated buildings of heading 9406) and parts of structures (for example, bridges and bridge sections, lock gates, towers, lattice masts, roofs, roofing frameworks, doors and windows and their frames and thresholds for doors, sh",0.3654,0.636302586,Edo. Mex.,0,14.48,0,1,9.213661438
1445,168429,"Self-propelled bulldozers, angledozers, graders, levelers, scrapers, mechanical shovels, excavators, shovel loaders, tamping machines and road rollers",0.7588,0.730656689,Edo. Mex.,0,14.46,0,1,10.56529573
525,137008,Multiple-walled insulating units of glass,0.7681,0.732887226,Sonora,0,14.42,0,1,10.5682338
2304,178714,Parts and accessories of vehicles of headings 8711 to 8713,0.8366,0.749316448,Sonora,0,14.42,0,1,10.80514319
2352,189001,"Optical fibers and optical fiber bundles; optical fiber cables other than those of heading 8544; sheets and plates of polarizing material; lenses (including contact lenses), prisms, mirrors and other optical elements, of any material, unmounted, other tha",0.7699,0.733318943,Edo. Mex.,0,14.42,0,1,10.57445915
2739,189033,"Parts and accessories (not specified or included elsewhere in this chapter) for machines, appliances, instruments or apparatus of chapter 90",0.9104,0.767016837,Sonora,0,14.42,0,1,11.06038279
2684,189032,Automatic regulating or controlling instruments and apparatus; parts and accessories thereof,1.0657,0.804264403,Baja California,0,14.4,0,1,11.5814074
1281,168418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps, other than the air conditioning machines of heading 8415; parts thereof",0.6296,0.699669017,Baja California,0,14.36,0,1,10.04724709
2378,189002,"Lenses, prisms, mirrors and other optical elements, of any material, mounted,being parts of or fittings for instruments or apparatus, other than such elements of glass not optically worked; parts and accessories thereof",1.2455,0.847388113,Chihuahua,0,14.36,0,1,12.16849331
1285,168418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps, other than the air conditioning machines of heading 8415; parts thereof",0.6296,0.699669017,Chihuahua,0,14.35,0,1,10.0402504
2096,168541,"Diodes, transistors and similar semiconductor devices; photosensitive semiconductor devices, including photovoltaic cells whether or not assembled in modules or made up into panels; light-emitting diodes; mounted piezoelectric crystals; parts thereof",0.9852,0.784957068,Edo. Mex.,0,14.34,0,1,11.25628436
2445,189013,"Liquid crystal devices not constituting articles provided for more specifically in other headings; lasers, other than laser diodes; other optical appliances and instruments, not specified or included elsewhere in this chapter; parts and accessories thereo",1.1688,0.828992181,Edo. Mex.,0,14.34,0,1,11.88774788
2507,189025,"Hydrometers and similar floating instruments, thermometers, pyrometers,barometers, hygrometers and psychrometers, recording or not, and any combination of these instruments; parts and accessories thereof",0.987,0.785388785,Edo. Mex.,0,14.34,0,1,11.26247518
1259,168417,"Industrial or laboratory furnaces and ovens, including incinerators, nonelectric, and parts thereof",0.7964,0.739674773,Edo. Mex.,0,14.32,0,1,10.59214275
1569,168474,"Machinery for sorting, screening, separating, washing, crushing, grinding, mixing or kneading earth, stone, ores or other mineral substances, in solid (including powder or paste) form; machinery for agglomerating, shaping or molding solid mineral fuels, c",0.2684,0.613037847,Edo. Mex.,0,14.32,0,1,8.778701972
1817,168505,"Electromagnets; permanent magnets and articles intended to become permanent magnets after magnetization;electromagnetic or permanent magnet chucks, clamps and similar holding devices;electromagnetic couplings, clutches and brakes; electromagnetic lifting",1.5448,0.919173022,Edo. Mex.,0,14.31,0,1,13.15336595
478,136810,"Articles of cement, of concrete or of artificial stone, whether or not reinforced",0.2714,0.613757375,Edo. Mex.,0,14.26,0,1,8.75218017
1121,168411,"Turbojets, turbo propellers and other gas turbines, and parts thereof",0.7881,0.737684079,Tamaulipas,0,14.21,0,1,10.48249077
205,94418,"Builders' joinery and carpentry of wood, including cellular wood panels and assembled flooring panels; shingles and shakes",0.1066,0.574231304,Nuevo Leon,0,14.17,0,1,8.136857581
1338,168419,"Machinery, plant or laboratory equipment, whether or not electrically heated (excluding furnaces, ovens and other equipment of heading 8514), for the treatment of materials by a process involving a change of temperature such as heating, cooking, roasting,",1.5466,0.919604739,Tamaulipas,0,14.17,0,1,13.03079916
2029,168537,"Boards, panels, consoles,desks, cabinets and other bases, equipped with two or more apparatus of heading 8535 or 8536,for electric control or the distribution of electricity, including those incorporating instruments or apparatus of chapter 90, and numeri",0.7145,0.720031659,Chihuahua,0,14.17,0,1,10.20284861
2404,189005,"Binoculars, monoculars, other optical telescopes, and mountings therefor; other astronomical instruments and mountings therefor, but not including instruments for radio-astronomy; parts and accessories thereof",1.165,0.828080779,Aguascalientes,0,14.09,0,1,11.66765818
820,157321,"Stoves, ranges, grates, cookers (including those with subsidiary boilers for central heating), barbecues, braziers, gas rings, plate warmers and similar nonelectric domestic appliances, and parts thereof, of iron or steel",0.3681,0.636950161,Edo. Mex.,0,14.07,0,1,8.961888761
339,115603,"Nonwovens, whether or not impregnated, coated, covered or laminated",1.0829,0.808389696,Tamaulipas,0,14.04,0,1,11.34979134
46,73909,"Amino-resins, phenolic resins and polyurethanes, in primary forms",1.2493,0.848299516,Jalisco,0,14,0,1,11.87619322
392,115608,"Knotted netting of twine, cordage or rope; made up fishing nets and other made up nets, of textile materials",-0.7791,0.361802657,Nuevo Leon,0,13.97,0,1,5.054383125
1622,168481,"Taps, cocks, valves and similar appliances, for pipes, boiler shells, tanks, vats or the like, including pressure-reducing valves and thermostatically controlled valves; parts thereof",1.7469,0.967645225,Baja California,0,13.97,0,1,13.51800379
665,157304,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel",-0.0486,0.537007723,Edo. Mex.,0,13.92,0,1,7.475147503
922,157610,"Aluminum structures (excluding prefabricated buildings of heading 9406) and parts of structures (for example, bridges and bridge-sections, towers, lattice masts, roofs, roofing frameworks, doors and windows and their frames and thresholds for doors, balus",0.4221,0.649901665,Nuevo Leon,0,13.92,0,1,9.04663117
811,157321,"Stoves, ranges, grates, cookers (including those with subsidiary boilers for central heating), barbecues, braziers, gas rings, plate warmers and similar nonelectric domestic appliances, and parts thereof, of iron or steel",0.3681,0.636950161,Baja California,0,13.91,0,1,8.859976735
1057,168405,"Producer gas or water gas generators, with or without their purifiers; acetylene gas generators and similar water process gas generators, with or without their purifiers; parts thereof",0.6341,0.700748309,Tamaulipas,0,13.9,0,1,9.740401497
1865,168506,Primary cells and primary batteries; parts thereof,0.4174,0.648774404,Tamaulipas,0,13.9,0,1,9.017964215
198,94418,"Builders' joinery and carpentry of wood, including cellular wood panels and assembled flooring panels; shingles and shakes",0.1066,0.574231304,Guanajuato,0,13.87,0,1,7.96458819
2615,189028,"Gas, liquid or electricity supply or production meters, including calibrating meters thereof; parts and accessories thereof",-0.0506,0.536528038,Sonora,0,13.87,0,1,7.441643882
1522,168465,"Machine tools (including machines for nailing, stapling, glueing or otherwise assembling) for working wood, cork, bone, hard rubber, hard plastics or similar hard materials",1.0371,0.797404902,Sonora,0,13.8,0,1,11.00418765
415,116305,"Sacks and bags, of a kind used for the packing of goods",-1.7066,0.139348587,Edo. Mex.,0,13.79,0,1,1.921617019
1152,168412,"Other engines and motors, and parts thereof",1.2701,0.853288243,Tamaulipas,0,13.79,0,1,11.76684487
2420,189005,"Binoculars, monoculars, other optical telescopes, and mountings therefor; other astronomical instruments and mountings therefor, but not including instruments for radio-astronomy; parts and accessories thereof",1.165,0.828080779,Morelos,0,13.78,0,1,11.41095313
